item,31st Mar 2024,31st Mar 2025
Revenue,"1,360,170,170","1,457,674,921"
COGS,"-317,800,645","-289,245,035"
Gross Profit,"1,042,369,525","1,168,429,886"
Operating Income,"11,074,706","12,832,091"
Operating Expenses,"-654,170,402","-710,578,628"
Depreciation & Amortization,"-98,646,505","-98,235,681"
Finance Cost,"-41,023,322","-13,549,759"
Finance Income,"1,561,048","795,933"
Exchange Loss on Foreign Currency Loan Conversion,"2,956,950",0
Earnings before tax,"264,122,000","359,693,842"
Income Tax Expense,"-88,236,804","-126,454,396"
Net Income,"175,885,196","233,239,446"
Other Comprehensive Income,"-20,003,726","213,030,127"
Total Comprehensive Income,"155,881,470","446,269,573"
